Time (s),Accel Roll (deg),Gyro Roll (deg)
11.204,27.86,28.0
11.218,27.87,28.0
11.233,27.85,28.01
11.248,27.81,28.01
11.263,27.75,28.01
11.277,27.81,28.0
11.292,27.92,28.0
11.307,27.87,28.0
11.321,27.81,28.01
11.336,27.82,28.01
11.351,27.8,28.01
11.366,27.79,28.01
11.38,27.83,28.01
11.395,27.89,28.01
11.409,27.87,28.01
11.424,27.78,28.01
11.438,27.77,28.01
11.453,27.76,28.0
11.468,27.79,28.0
11.482,27.82,28.0
11.497,27.8,28.0
11.511,27.79,28.0
11.525,27.78,28.0
11.539,27.8,28.0
11.554,27.84,28.0
11.568,27.86,28.0
11.582,27.88,28.01
11.596,27.86,28.01
11.611,27.84,28.01
11.625,27.79,28.01
11.639,27.76,28.01
11.654,27.81,28.01
11.668,27.83,28.01
11.682,27.83,28.01
11.696,27.85,28.01
11.711,27.8,28.01
11.725,27.78,28.01
11.739,27.83,28.01
11.754,27.9,28.01
11.768,27.91,28.01
11.782,27.87,28.01
11.796,27.76,28.01
11.811,27.71,28.01
11.825,27.72,28.01
11.839,27.89,28.01
11.853,27.95,28.01
11.867,27.69,28.01
11.882,27.66,28.01
11.896,27.89,28.01
11.911,27.92,28.01
11.925,27.69,28.01
11.939,27.75,28.01
11.953,27.83,28.01
11.967,27.75,28.01
11.981,27.83,28.01
11.996,27.86,28.01
12.01,27.71,28.01
12.025,27.74,28.01
12.039,27.85,28.01
12.054,27.79,28.01
12.068,27.76,28.01
12.083,27.82,28.01
12.097,27.78,28.01
12.111,27.78,28.01
12.126,27.92,28.01
12.141,27.84,28.01
12.155,27.74,28.01
12.17,27.81,28.01
12.184,27.87,28.01
12.199,27.85,28.01
12.214,27.82,28.01
12.229,27.76,28.01
12.243,27.79,28.01
12.258,27.83,28.01
12.272,27.82,28.01
12.287,27.83,28.01
12.301,27.87,28.01
12.316,27.84,28.01
12.331,27.78,28.01
12.345,27.77,28.01
12.36,27.85,28.01
12.375,27.89,28.01
12.389,27.85,28.01
12.404,27.82,28.01
12.419,27.81,28.01
12.433,27.83,28.01
12.447,27.83,28.01
12.462,27.77,28.02
12.477,27.78,28.01
12.492,27.9,28.01
12.505,27.88,28.01
12.52,27.77,28.02
12.534,27.83,28.01
12.548,27.84,28.01
12.562,27.8,28.01
12.577,27.8,28.01
12.591,27.83,28.01
12.605,27.84,28.01
12.619,27.76,28.02
12.634,27.77,28.02
12.648,27.87,28.01
12.662,27.91,28.01
12.677,27.88,28.01
12.691,27.78,28.01
12.705,27.69,28.01
12.72,27.78,28.01
12.734,27.86,28.01
12.748,27.81,28.01
12.763,27.74,28.01
12.778,27.79,28.01
12.793,27.8,28.01
12.807,27.78,28.01
12.821,27.8,28.01
12.836,27.92,28.01
12.85,27.88,28.01
12.864,27.75,28.01
12.878,27.79,28.01
12.892,27.8,28.01
12.906,27.8,28.01
12.921,27.83,28.01
12.935,27.78,28.01
12.949,27.73,28.01
12.963,27.78,28.01
12.977,27.82,28.01
12.992,27.84,28.01
13.006,27.9,28.01
13.02,27.88,28.02
13.034,27.72,28.02
13.049,27.65,28.02
13.063,27.83,28.01
13.078,27.97,28.01
13.092,27.9,28.01
13.107,27.84,28.01
13.121,27.77,28.01
13.135,27.8,28.0
13.15,27.88,27.99
13.164,27.82,27.99
13.179,27.64,27.99
13.193,27.31,27.99
13.208,27.84,27.98
13.222,27.88,27.98
13.237,28.17,27.97
13.252,29.0,27.98
13.266,28.77,28.02
13.281,26.73,28.07
13.295,25.86,28.14
13.31,26.92,28.21
13.325,27.38,28.29
13.34,28.14,28.34
13.354,28.01,28.32
13.369,27.31,28.28
13.383,26.99,28.25
13.398,27.12,28.21
13.412,28.27,28.17
13.426,28.49,28.13
13.441,28.35,28.12
13.455,27.4,28.25
13.47,25.74,28.47
13.485,26.33,28.69
13.499,27.78,28.89
13.513,27.17,29.04
13.527,25.52,29.17
13.541,25.22,29.18
13.555,25.6,29.16
13.57,26.93,29.14
13.584,27.12,29.15
13.598,27.52,29.17
13.612,27.72,29.17
13.626,26.85,29.18
13.64,26.76,29.2
13.654,26.37,29.19
13.669,25.68,29.14
13.683,25.89,29.08
13.697,27.28,29.05
13.711,27.67,29.08
13.725,27.22,29.11
13.739,26.77,29.12
13.754,26.53,29.08
13.768,24.25,29.01
13.782,25.6,28.96
13.797,26.35,29.0
13.811,25.93,29.11
13.826,26.59,29.18
13.841,26.57,29.18
13.855,25.81,29.19
13.869,25.15,29.23
13.883,25.86,29.35
13.897,25.95,29.52
13.911,25.45,29.69
13.925,24.72,29.88
13.939,24.54,30.08
13.953,24.16,30.25
13.967,24.62,30.34
13.982,24.89,30.44
13.996,25.01,30.54
14.01,25.62,30.55
14.024,26.93,30.46
14.038,25.66,30.27
14.052,23.93,30.08
14.067,24.0,29.97
14.082,26.0,29.9
14.096,26.33,29.9
14.111,24.46,29.95
14.125,23.93,29.97
14.14,24.27,29.97
14.155,24.34,29.96
14.169,25.13,29.94
14.184,23.94,29.96
14.199,22.07,29.96
14.214,20.91,29.92
14.228,21.65,29.87
14.242,23.84,29.87
14.257,24.58,29.97
14.272,24.29,30.03
14.286,24.59,29.99
14.301,24.03,29.98
14.316,24.01,30.16
14.33,21.5,30.48
14.345,19.12,30.91
14.359,20.78,31.32
14.374,21.26,31.62
14.388,21.53,31.96
14.403,21.55,32.29
14.417,22.48,32.63
14.432,22.69,32.92
14.447,20.48,33.21
14.461,18.77,33.61
14.475,19.22,33.93
14.489,13.81,34.14
14.504,14.01,34.11
14.518,18.3,33.96
14.532,18.42,33.83
14.546,18.22,33.71
14.56,17.39,33.59
14.575,18.1,33.45
14.589,19.16,33.26
14.603,18.84,33.1
14.617,18.01,32.95
14.631,18.05,32.79
14.645,17.77,32.63
14.659,17.69,32.48
14.674,17.84,32.33
14.688,17.98,32.17
14.703,18.23,32.01
14.717,18.9,31.86
14.731,18.15,31.76
14.745,18.08,31.66
14.76,18.4,31.52
14.774,18.0,31.39
14.788,18.06,31.27
14.802,18.23,31.14
14.816,18.2,31.01
14.83,18.19,30.88
14.845,18.14,30.76
14.859,18.19,30.63
14.873,18.14,30.51
14.887,18.15,30.39
14.902,18.23,30.27
14.916,18.17,30.15
14.93,18.09,30.03
14.944,18.17,29.92
14.958,18.17,29.8
14.972,18.15,29.69
14.987,18.2,29.57
15.001,18.19,29.46
15.015,18.16,29.35
15.029,18.16,29.24
15.043,18.25,29.13
15.057,18.27,29.02
15.072,18.18,28.92
15.087,18.14,28.81
15.101,18.13,28.71
15.116,18.12,28.6
15.13,18.12,28.5
15.145,18.12,28.4
15.159,18.16,28.3
15.174,18.16,28.2
15.188,18.15,28.1
15.203,18.18,28.0
15.217,18.22,27.91
15.232,18.22,27.81
15.246,18.21,27.72
15.261,18.16,27.62
15.275,18.14,27.53
15.29,18.15,27.44
15.304,18.14,27.35
15.319,18.19,27.26
15.333,18.26,27.17
15.348,18.15,27.09
15.362,18.12,27.0
15.377,18.24,26.91
15.391,18.22,26.83
15.405,18.2,26.74
15.42,18.17,26.66
15.434,18.14,26.58
15.449,18.19,26.49
15.463,18.22,26.41
15.478,18.11,26.33
15.492,18.12,26.25
15.506,18.28,26.17
15.52,18.26,26.1
15.535,18.12,26.02
15.549,18.11,25.94
