Time (s),Gyro Roll (deg)
16.05,-0.77
16.064,-0.77
16.079,-0.77
16.093,-0.77
16.107,-0.77
16.122,-0.77
16.137,-0.77
16.151,-0.77
16.165,-0.76
16.18,-0.77
16.194,-0.77
16.209,-0.77
16.223,-0.77
16.238,-0.77
16.252,-0.77
16.266,-0.77
16.281,-0.77
16.295,-0.77
16.31,-0.77
16.324,-0.77
16.339,-0.77
16.353,-0.77
16.367,-0.77
16.382,-0.77
16.396,-0.77
16.411,-0.77
16.425,-0.77
16.44,-0.77
16.454,-0.77
16.469,-0.77
16.484,-0.77
16.498,-0.77
16.512,-0.77
16.527,-0.77
16.541,-0.77
16.556,-0.77
16.57,-0.77
16.585,-0.77
16.599,-0.77
16.614,-0.77
16.628,-0.77
16.643,-0.77
16.657,-0.77
16.672,-0.77
16.686,-0.77
16.701,-0.77
16.716,-0.77
16.73,-0.77
16.745,-0.77
16.759,-0.77
16.774,-0.77
16.788,-0.77
16.802,-0.77
16.816,-0.77
16.831,-0.77
16.845,-0.78
16.86,-0.78
16.874,-0.77
16.889,-0.77
16.903,-0.77
16.918,-0.77
16.932,-0.77
16.946,-0.77
16.961,-0.77
16.975,-0.77
16.99,-0.77
17.004,-0.77
17.019,-0.77
17.033,-0.77
17.047,-0.77
17.062,-0.77
17.076,-0.77
17.091,-0.77
17.105,-0.77
17.12,-0.77
17.134,-0.77
17.149,-0.77
17.17,-0.77
17.184,-0.77
17.199,-0.77
17.213,-0.77
17.228,-0.77
17.242,-0.77
17.257,-0.77
17.271,-0.77
17.286,-0.77
17.3,-0.77
17.315,-0.77
17.33,-0.77
17.344,-0.77
17.358,-0.77
17.373,-0.77
17.387,-0.77
17.402,-0.77
17.416,-0.77
17.431,-0.77
17.445,-0.77
17.46,-0.77
17.474,-0.77
17.489,-0.77
17.503,-0.77
17.517,-0.77
17.532,-0.77
17.546,-0.77
17.561,-0.77
17.578,-0.77
17.592,-0.77
17.606,-0.77
17.621,-0.77
17.635,-0.77
17.65,-0.77
17.664,-0.77
17.679,-0.77
17.693,-0.77
17.708,-0.78
17.723,-0.78
17.737,-0.78
17.751,-0.78
17.766,-0.77
17.78,-0.77
17.794,-0.77
17.809,-0.77
17.824,-0.77
17.838,-0.78
17.853,-0.78
17.867,-0.77
17.882,-0.77
17.896,-0.77
17.911,-0.77
17.925,-0.77
17.94,-0.77
17.954,-0.77
17.968,-0.77
17.983,-0.77
17.997,-0.77
18.012,-0.77
18.026,-0.77
18.041,-0.77
18.055,-0.77
18.07,-0.77
18.084,-0.77
18.099,-0.77
18.113,-0.77
18.128,-0.77
18.142,-0.77
18.157,-0.77
18.171,-0.77
18.186,-0.77
18.201,-0.77
18.215,-0.77
18.23,-0.77
18.245,-0.77
18.26,-0.77
18.275,-0.77
18.289,-0.77
18.304,-0.77
18.318,-0.77
